iter	Passed	Remaining
272	1865	4967
273	1867	4948
274	1875	4945
275	1877	4926
276	1881	4911
277	1883	4891
278	1885	4873
279	1888	4856
280	1890	4837
281	1892	4817
282	1893	4798
283	1895	4779
284	1898	4762
285	1903	4750
286	1904	4732
287	1907	4714
288	1909	4697
289	1911	4680
290	1914	4664
291	1918	4652
292	1920	4634
293	1922	4616
294	1925	4601
295	1926	4583
296	1929	4568
297	1932	4552
298	1934	4535
299	1936	4518
300	1938	4501
301	1939	4483
302	1941	4466
303	1944	4452
304	1947	4437
305	1949	4420
306	1950	4403
307	1952	4387
308	1954	4370
309	1955	4353
310	1960	4342
311	1961	4326
312	1963	4309
313	1964	4292
314	1966	4276
315	1968	4259
316	1969	4243
317	1971	4229
318	1974	4216
319	1976	4200
320	1978	4184
321	1979	4168
322	1981	4152
323	1982	4136
324	1984	4121
325	1987	4109
326	1990	4096
327	1991	4081
328	1993	4065
329	1995	4051
330	1997	4036
331	1998	4021
332	2003	4013
333	2005	3998
334	2007	3984
335	2009	3970
336	2010	3956
337	2012	3941
338	2016	3931
339	2018	3918
340	2020	3904
341	2021	3890
342	2023	3876
343	2025	3862
344	2030	3854
345	2032	3842
346	2034	3828
347	2036	3814
348	2037	3801
349	2039	3787
350	2041	3773
351	2044	3763
352	2046	3751
353	2048	3737
354	2050	3724
355	2052	3713
356	2054	3700
357	2061	3696
358	2062	3683
359	2064	3670
360	2065	3656
361	2068	3645
362	2077	3645
363	2079	3633
364	2081	3620
365	2083	3608
366	2085	3596
367	2088	3587
368	2090	3575
369	2092	3563
370	2094	3551
371	2096	3539
372	2098	3527
373	2104	3521
374	2105	3509
375	2107	3497
376	2108	3484
377	2111	3473
378	2112	3461
379	2114	3450
380	2116	3439
381	2118	3427
382	2120	3415
383	2122	3404
384	2124	3393
385	2125	3381
386	2129	3372
387	2131	3361
388	2132	3349
389	2135	3339
390	2137	3328
391	2138	3317
392	2143	3310
393	2145	3299
394	2147	3288
395	2148	3277
396	2150	3267
397	2152	3256
398	2154	3245
399	2158	3237
400	2160	3226
401	2162	3216
402	2164	3206
403	2166	3196
404	2168	3185
405	2174	3182
406	2176	3171
407	2177	3160
408	2179	3149
409	2181	3139
410	2182	3128
411	2186	3120
412	2189	3112
413	2191	3102
414	2193	3092
415	2195	3081
416	2196	3071
417	2199	3061
418	2202	3054
419	2204	3043
420	2205	3033
421	2207	3023
422	2209	3013
423	2210	3002
424	2215	2997
425	2218	2988
426	2219	2979
427	2221	2969
428	2223	2959
429	2225	2949
430	2226	2939
431	2230	2932
432	2232	2923
433	2233	2913
434	2235	2903
435	2237	2893
436	2238	2884
437	2245	2880
438	2247	2871
439	2250	2864
440	2252	2855
441	2254	2845
442	2259	2840
443	2260	2831
444	2262	2821
445	2264	2812
446	2266	2803
447	2267	2794
448	2271	2787
449	2274	2780
450	2284	2780
451	2285	2771
452	2287	2762
453	2289	2753
454	2291	2744
455	2293	2736
456	2296	2728
457	2298	2719
458	2300	2711
459	2302	2702
460	2303	2693
461	2305	2684
462	2307	2676
463	2311	2670
464	2313	2661
465	2315	2653
466	2317	2644
467	2318	2635
468	2320	2627
469	2324	2621
470	2326	2612
471	2327	2604
472	2329	2595
473	2331	2587
474	2333	2579
475	2335	2570
476	2338	2564
477	2340	2556
478	2342	2547
479	2344	2539
480	2346	2531
481	2348	2523
482	2355	2521
483	2358	2514
484	2362	2508
485	2364	2500
486	2371	2497
487	2377	2494
488	2385	2492
489	2387	2484
490	2389	2477
491	2392	2470
492	2399	2467
493	2402	2460
494	2404	2453
495	2406	2445
496	2409	2438
497	2415	2434
498	2417	2427
499	2419	2419
500	2421	2412
501	2432	2412
502	2437	2408
503	2448	2409
504	2451	2403
505	2454	2396
506	2460	2392
507	2463	2385
508	2465	2377
509	2468	2372
510	2471	2364
511	2476	2360
512	2477	2352
513	2479	2344
514	2485	2340
515	2489	2335
516	2491	2327
517	2493	2320
518	2496	2313
519	2498	2306
520	2505	2303
521	2507	2296
522	2512	2291
523	2514	2284
524	2520	2280
525	2522	2273
526	2526	2267
527	2529	2260
528	2534	2256
529	2535	2248
530	2538	2241
531	2540	2234
532	2542	2227
533	2544	2220
534	2548	2215
535	2550	2207
536	2551	2200
537	2553	2192
538	2556	2186
539	2558	2179
540	2562	2174
541	2564	2166
542	2565	2159
543	2567	2152
544	2570	2145
545	2571	2138
546	2573	2131
547	2577	2125
548	2579	2119
549	2582	2112
550	2584	2106
551	2586	2098
552	2588	2091
553	2590	2085
554	2591	2078
555	2593	2070
556	2594	2063
557	2597	2057
558	2599	2050
559	2600	2043
560	2604	2037
561	2605	2030
562	2607	2023
563	2608	2016
564	2610	2010
565	2612	2003
566	2613	1996
567	2617	1990
568	2618	1983
569	2620	1976
570	2621	1969
571	2623	1962
572	2625	1956
573	2627	1950
574	2630	1944
575	2632	1937
576	2634	1931
577	2636	1925
578	2638	1918
579	2640	1912
580	2642	1905
581	2644	1899
582	2646	1892
583	2647	1886
584	2649	1879
585	2651	1873
586	2652	1866
587	2656	1861
588	2658	1855
589	2659	1848
590	2661	1841
591	2662	1835
592	2665	1829
593	2666	1822
594	2668	1816
595	2671	1810
596	2673	1804
597	2674	1798
598	2676	1791
599	2678	1785
600	2680	1779
601	2683	1773
602	2686	1768
603	2687	1762
604	2689	1755
605	2691	1749
606	2693	1743
607	2695	1737
608	2698	1732
609	2700	1726
610	2702	1720
611	2704	1714
612	2706	1708
613	2708	1702
614	2710	1696
615	2712	1690
616	2714	1684
617	2715	1678
618	2717	1672
619	2719	1666
620	2720	1660
621	2722	1654
622	2724	1648
623	2726	1643
624	2728	1637
625	2730	1631
626	2732	1625
627	2734	1619
628	2736	1613
629	2738	1608
630	2740	1602
631	2742	1596
632	2744	1590
633	2745	1585
634	2747	1579
635	2749	1573
636	2750	1567
637	2752	1562
638	2754	1556
639	2756	1550
640	2758	1545
641	2760	1539
642	2762	1533
643	2763	1527
644	2765	1522
645	2768	1517
646	2770	1511
647	2771	1505
648	2773	1499
649	2774	1494
650	2776	1488
651	2778	1482
652	2780	1477
653	2782	1472
654	2784	1466
655	2786	1461
656	2787	1455
657	2789	1449
658	2791	1444
659	2792	1438
660	2793	1432
661	2795	1427
662	2797	1421
663	2799	1416
664	2800	1411
665	2802	1405
666	2803	1399
667	2805	1394
668	2807	1388
669	2808	1383
670	2810	1378
671	2813	1373
672	2815	1367
673	2816	1362
674	2818	1356
675	2819	1351
676	2821	1345
677	2822	1340
678	2824	1335
679	2826	1329
680	2828	1324
681	2829	1319
682	2831	1314
683	2833	1308
684	2834	1303
685	2836	1298
686	2838	1293
687	2839	1287
688	2841	1282
689	2843	1277
690	2845	1272
691	2846	1267
692	2848	1261
693	2849	1256
694	2851	1251
695	2853	1246
696	2855	1241
697	2857	1236
698	2859	1231
699	2860	1225
700	2862	1220
701	2863	1215
702	2865	1210
703	2867	1205
704	2869	1200
705	2871	1195
706	2872	1190
707	2874	1185
708	2875	1180
709	2877	1175
710	2878	1170
711	2880	1165
712	2882	1160
713	2884	1155
714	2886	1150
715	2888	1145
716	2889	1140
717	2891	1135
718	2892	1130
719	2894	1125
720	2895	1120
721	2897	1115
722	2899	1110
723	2901	1106
724	2902	1101
725	2904	1096
726	2905	1091
727	2907	1086
728	2909	1081
729	2912	1077
730	2913	1072
731	2915	1067
732	2916	1062
733	2918	1057
734	2920	1052
735	2922	1048
736	2925	1043
737	2926	1039
738	2928	1034
739	2930	1029
740	2931	1024
741	2932	1019
742	2934	1014
743	2935	1010
744	2937	1005
745	2938	1000
746	2940	995
747	2942	991
748	2943	986
749	2945	981
750	2946	977
751	2948	972
752	2949	967
753	2951	962
754	2952	958
755	2954	953
756	2957	949
757	2958	944
758	2960	939
759	2962	935
760	2963	930
761	2965	926
762	2967	921
763	2969	917
764	2970	912
765	2972	907
766	2973	903
767	2975	898
768	2976	894
769	2978	889
770	2979	885
771	2981	880
772	2983	875
773	2984	871
774	2986	867
775	2988	862
776	2989	858
777	2992	854
778	2994	849
779	2995	844
780	2997	840
781	2999	836
782	3001	831
783	3003	827
784	3005	823
785	3007	818
786	3008	814
787	3010	809
788	3012	805
789	3015	801
790	3016	797
791	3018	792
792	3020	788
793	3022	784
794	3024	779
795	3026	775
796	3028	771
797	3030	767
798	3032	762
799	3033	758
800	3035	754
801	3037	749
802	3039	745
803	3041	741
804	3043	737
805	3045	733
806	3047	728
807	3048	724
808	3050	720
809	3051	715
810	3053	711
811	3055	707
812	3056	703
813	3059	699
814	3060	694
815	3063	690
816	3065	686
817	3067	682
818	3068	678
819	3071	674
820	3073	670
821	3075	665
822	3076	661
823	3078	657
824	3080	653
825	3081	649
826	3083	644
827	3086	641
828	3088	637
829	3090	632
830	3091	628
831	3093	624
832	3095	620
833	3096	616
834	3100	612
835	3102	608
836	3103	604
837	3105	600
838	3106	596
839	3108	592
840	3110	588
841	3112	583
842	3113	579
843	3115	575
844	3117	571
845	3118	567
846	3120	563
847	3121	559
848	3123	555
849	3124	551
850	3126	547
851	3128	543
852	3131	539
853	3132	535
854	3134	531
855	3135	527
856	3137	523
857	3139	519
858	3141	515
859	3142	511
860	3144	507
861	3146	503
862	3147	499
863	3149	495
864	3150	491
865	3152	487
866	3153	483
867	3155	479
868	3156	475
869	3158	471
870	3159	467
871	3161	464
872	3162	460
873	3164	456
874	3165	452
875	3167	448
876	3168	444
877	3170	440
878	3172	436
879	3174	432
880	3176	429
881	3177	425
882	3179	421
883	3181	417
884	3182	413
885	3184	409
886	3186	405
887	3187	402
888	3189	398
889	3190	394
890	3192	390
891	3194	386
892	3196	382
893	3197	379
894	3199	375
895	3200	371
896	3202	367
897	3204	363
898	3205	360
899	3207	356
900	3208	352
901	3210	348
902	3212	345
903	3213	341
904	3215	337
905	3217	333
906	3218	330
907	3220	326
908	3223	322
909	3225	319
910	3227	315
911	3230	311
912	3232	307
913	3233	304
914	3235	300
915	3237	296
916	3239	293
917	3240	289
918	3242	285
919	3244	282
920	3247	278
921	3249	274
922	3251	271
923	3253	267
924	3255	263
925	3257	260
926	3259	256
927	3261	253
928	3264	249
929	3266	245
930	3268	242
931	3269	238
932	3271	234
933	3274	231
934	3276	227
935	3277	224
936	3279	220
937	3281	216
938	3283	213
939	3285	209
940	3286	206
941	3288	202
942	3291	198
943	3292	195
944	3294	191
945	3295	188
946	3297	184
947	3298	180
948	3300	177
949	3302	173
950	3306	170
951	3307	166
952	3309	163
953	3311	159
954	3312	156
955	3314	152
956	3315	148
957	3317	145
958	3319	141
959	3321	138
960	3322	134
961	3323	131
962	3325	127
963	3327	124
964	3328	120
965	3330	117
966	3335	113
967	3337	110
968	3338	106
969	3340	103
970	3341	99
971	3342	96
972	3344	92
973	3346	89
974	3350	85
975	3352	82
976	3354	78
977	3355	75
978	3356	72
979	3358	68
980	3360	65
981	3361	61
982	3363	58
983	3365	54
984	3367	51
985	3369	47
986	3371	44
987	3372	40
988	3374	37
989	3375	34
990	3377	30
991	3379	27
992	3380	23
993	3382	20
994	3383	17
995	3385	13
996	3386	10
997	3388	6
998	3390	3
999	3392	0
